Course,ID,Type
Computational Thermo Fluids,112103289.0,Core
Computational Thermo Fluids,112106294.0,Core
Computational Thermo Fluids,112104302.0,Core
Computational Thermo Fluids,103105679.0,Core
Computational Thermo Fluids,101104450.0,Core
Advanced Mechanics,112106286.0,Core
Advanced Mechanics,112102284.0,Core
Advanced Mechanics,112106912.0,Core
Advanced Mechanics,112105197.0,Core
Advanced Mechanics,112107212.0,Core
Advanced Mechanics,101105081.0,Core
Advanced Mechanics,112104193.0,Core
Advanced Mechanics,112104205.0,Core
Advanced Mechanics,112103295.0,Core
Advanced Mechanics,112106293.0,Core
Propulsion,127106135.0,Core
Propulsion,112106290.0,Core
Propulsion,101104070.0,Core
Propulsion,101104072.0,Core
Propulsion,112106299.0,Core
Propulsion,112103313.0,Core
Propulsion,112103281.0,Core
Propulsion,112105909.0,Core
Propulsion,101106082.0,Core
Propulsion,112103275.0,Core
Propulsion,112103307.0,Core
Propulsion,105103192.0,Core
Propulsion,101104808.0,Core
Energy Systems,127106135.0,Core
Energy Systems,112103275.0,Core
Energy Systems,112103307.0,Core
Energy Systems,112106200.0,Core
Energy Systems,112105771.0,Core
Energy Systems,103105140.0,Core
Energy Systems,103101137.0,Core
Energy Systems,112105271.0,Core
Energy Systems,103108123.0,Core
Energy Systems,112103276.0,Core
Energy Systems,112104313.0,Core
Energy Systems,112101907.0,Core
Energy Systems,112107291.0,Core
Manufacturing Processes and Technology,112104195|112104204,Core
Manufacturing Processes and Technology,112107239.0,Core
Manufacturing Processes and Technology,112104304.0,Core
Manufacturing Processes and Technology,112104188|112104189,Core
Manufacturing Processes and Technology,112103248.0,Core
Manufacturing Processes and Technology,108105088.0,Core
Manufacturing Processes and Technology,112103293.0,Core
Product Design,112107258.0,Core
Product Design,112107217.0,Core
Product Design,112104230.0,Core
Product Design,112104228.0,Core
Product Design,112106293.0,Core
Product Design,112104304.0,Core
Advanced Dynamics and Vibration,112106286.0,Core
Advanced Dynamics and Vibration,112105197.0,Core
Advanced Dynamics and Vibration,112107212.0,Core
Advanced Dynamics and Vibration,112105304.0,Core
Advanced Dynamics and Vibration,112103300.0,Core
Computational Mechanics,112106286.0,Core
Computational Mechanics,127106019.0,Core
Computational Mechanics,112104193.0,Core
Computational Mechanics,112105308.0,Core
Computational Mechanics,101104074.0,Core
Computational Mechanics,112103295.0,Core
Computational Mechanics,112106912.0,Core
Robotics,107106090.0,Core
Robotics,112105249.0,Core
Robotics,112105236.0,Core
Robotics,112107289.0,Core
Robotics,112104298.0,Core
Robotics,112106304.0,Core
Robotics,112104620.0,Core
Robotics,112106298.0,Core
Materials Joining,112107257.0,Core
Materials Joining,113107092.0,Core
Materials Joining,113106087.0,Core
Materials Joining,112107213.0,Core
Electronic Materials,113106039.0,Core
Electronic Materials,113106062.0,Core
Electronic Materials,113106065.0,Core
Electronic Materials,108108122.0,Core
Materials Characterization,112106227.0,Core
Materials Characterization,113106069.0,Core
Materials Characterization,113106924.0,Core
Materials Characterization,113106064.0,Core
Materials Characterization,113105101.0,Core
Minor in Metallurgy,113105098.0,Core
Minor in Metallurgy,113101098.0,Core
Minor in Metallurgy,113106101.0,Core
Minor in Metallurgy,113106034.0,Core
Minor in Metallurgy,113102080.0,Core
Minor in Metallurgy,113106109.0,Core
Minor in Metallurgy,113105441.0,Core
Minor in Metallurgy,113104517.0,Core
Minor in Metallurgy,113108922.0,Core
Minor in Materials Science,113102080.0,Core
Minor in Materials Science,113104076.0,Core
Minor in Materials Science,112104248.0,Core
Minor in Materials Science,113106109.0,Core
Minor in Materials Science,113106034.0,Core
Minor in Materials Science,113101098.0,Core
Minor in Materials Science,113104096.0,Core
Foundations of Mathematics,111106146.0,Core
Foundations of Mathematics,111103764.0,Core
Foundations of Mathematics,111106135.0,Core
Foundations of Mathematics,111104137.0,Core
Algebra,111106135.0,Core
Algebra,111104137.0,Core
Algebra,111106113.0,Core
Algebra,111106131.0,Core
Algebra,111106763.0,Core
English Studies,109106136.0,Core
English Studies,109106171.0,Core
English Studies,109106084.0,Core
English Studies,109104135.0,Core
English Studies,109106149.0,Core
English Studies,109106146.0,Core
English Studies,109103122.0,Core
English Studies,109106124.0,Core
English Studies,109106503.0,Core
English Studies,109106600.0,Core
English Studies,109106594.0,Core
English Studies,109106733.0,Core
English Studies,109106737.0,Core
English Studies,109107739.0,Core
English Studies,109107730.0,Core
Psychology,109104105.0,Core
Psychology,109102157.0,Core
Psychology,109103142.0,Core
Psychology,109103134.0,Core
Psychology,109104126.0,Core
Psychology,109104171.0,Core
Psychology,109104607.0,Core
Psychology,109107740.0,Core
Psychology,109103736.0,Core
Sports Science,109106404.0,Core
Sports Science,109106405.0,Core
Sports Science,109106406.0,Core
Sports Science,109106402.0,Core
Sports Science,109106403.0,Core
Sports Science,109106797.0,Core
Sustainable Surface Mining Engineering,123105007.0,Core
Sustainable Surface Mining Engineering,123105005.0,Core
Sustainable Surface Mining Engineering,123105003.0,Core
Flight Mechanics,101108068.0,Elective
Flight Mechanics,101105083.0,Elective
Flight Mechanics,101104083.0,Elective
Flight Mechanics,101104084.0,Elective
Flight Mechanics,101101086.0,Elective
Flight Mechanics,127101530.0,Elective
Flight Mechanics,117106483.0,Elective
Flight Mechanics,101104545.0,Elective
Flight Mechanics,101108661.0,Elective
Flight Mechanics,108106722.0,Elective
Flight Mechanics,101104796.0,Elective
Flight Mechanics,101101805.0,Elective
Flight Mechanics,101104807.0,Elective
Food Process Engineering,126105550.0,Elective
Food Process Engineering,126105023.0,Elective
Food Process Engineering,126105027.0,Elective
Food Process Engineering,126105025.0,Elective
Food Process Engineering,126105008.0,Elective
Food Process Engineering,126105020.0,Elective
Food Process Engineering,126105549.0,Elective
Integrated Soil and Water Management,126105334.0,Elective
Integrated Soil and Water Management,126105021.0,Elective
Integrated Soil and Water Management,126105019.0,Elective
Integrated Soil and Water Management,126105024.0,Elective
Integrated Soil and Water Management,126105335.0,Elective
Integrated Soil and Water Management,124105014.0,Elective
Architectural Theory,124107162.0,Elective
Architectural Theory,124106009.0,Elective
Architectural Theory,124107338.0,Elective
Architectural Theory,124107011.0,Elective
Architectural Theory,107103857.0,Elective
Building Services,105102175.0,Elective
Building Services,124107338.0,Elective
Sustainable Architecture,105105157.0,Elective
Sustainable Architecture,109106161.0,Elective
Sustainable Architecture,124106454.0,Elective
Sustainable Architecture,124106551.0,Elective
Sustainable Architecture,109101171.0,Elective
Sustainable Architecture,130106113.0,Elective
Sustainable Architecture,124105812.0,Elective
Materials and Construction Building Services,105106053.0,Elective
Urban Planning Building Services,105105204.0,Elective
Urban Planning Building Services,105105208.0,Elective
Urban Planning Building Services,124105158.0,Elective
Urban Planning Building Services,105103205.0,Elective
Urban Planning Building Services,124107338.0,Elective
Urban Planning Building Services,124105665.0,Elective
Urban Planning Building Services,124107816.0,Elective
Urban Planning Building Services,127106875.0,Elective
Urban Infrastructure Planning and Management,105105160.0,Elective
Urban Infrastructure Planning and Management,105107210.0,Elective
Urban Infrastructure Planning and Management,124107338.0,Elective
Urban Infrastructure Planning and Management,124105811.0,Elective
Urban Infrastructure Planning and Management,124105812.0,Elective
Bioprocesses,102106080.0,Elective
Bioprocesses,102104057.0,Elective
Bioprocesses,102105086.0,Elective
Bioprocesses,102103074.0,Elective
Bioprocesses,102106082.0,Elective
Bioprocesses,102103083.0,Elective
Bioprocesses,127103225.0,Elective
Bioprocesses,102105088.0,Elective
Bioprocesses,102105342.0,Elective
Bioprocesses,126105337.0,Elective
Bioprocesses,102103555.0,Elective
Bioprocesses,103105679.0,Elective
Bioprocesses,127108778.0,Elective
Bioprocesses,102106818.0,Elective
Bioengineering,102106081.0,Elective
Bioengineering,102108077.0,Elective
Bioengineering,102105068.0,Elective
Bioengineering,102101058.0,Elective
Bioengineering,102107058.0,Elective
Bioengineering,102101072.0,Elective
